optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-0.1052392238,16.9454520089,-0.1164676691,22.119140625,-0.1176907499,22.626953125,68,-1.6026357206,-0.9697498546,-1.9033450608,-0.992541595
-0.1107417638,17.6381138393,-0.0535277334,9.5654296875,-0.0572627755,10.1611328125,69,0.8390938234,0.5258871437,0.7763154673,0.4721744119
-0.0622983195,9.4217354911,-0.0525386766,9.189453125,-0.0515372401,9.130859375,70,0.8774638839,0.5706806283,1.0302126303,0.5932300631
-0.0477703057,9.599609375,-0.0408787326,8.3251953125,-0.0421228493,8.4130859375,71,1.3298067308,0.6736474695,1.4476909831,0.6775674125
-0.0452051965,7.9861886161,-0.0237955574,3.8525390625,-0.0240601758,3.759765625,72,1.9925416572,1.2065154159,2.2486748614,1.2243258749
-0.0611048545,9.4342912946,-0.0624350983,10.791015625,-0.0639299075,10.56640625,73,0.4935361786,0.3798720186,0.4806634825,0.4245553643
-0.0989564361,13.6097935268,-0.3616968602,36.298828125,-0.3672921846,36.9970703125,74,-11.1162037569,-2.6591041303,-12.9718463352,-2.6810097533
-0.1203066362,14.8688616071,-0.3247990586,35.7080078125,-0.3296744887,36.171875,75,-9.6847683537,-2.5887143688,-11.3037008155,-2.5840504877
-0.1645963895,18.2498604911,-0.1080117077,21.669921875,-0.1077736189,21.5380859375,76,-1.2745900892,-0.9162303665,-1.4635728375,-0.8646012622
-0.175664337,20.1918247768,-0.0722483581,17.861328125,-0.072143995,17.4462890625,77,0.1128347027,-0.462478185,0.1164122217,-0.3838209983
-0.1787851823,20.3759765625,-0.0642837394,15.4541015625,-0.0633865105,15.05859375,78,0.4218188879,-0.1756835369,0.5047602601,-0.1032702238
-0.1898941398,22.2181919643,-0.0750094892,17.1533203125,-0.0743142447,16.6064453125,79,0.0057177315,-0.3781268179,0.0201731461,-0.2851405622
-0.237461759,24.3505859375,-0.0881781565,23.9697265625,-0.0873119839,23.505859375,80,-0.5051554327,-1.1902268761,-0.5562077316,-1.0958118187
-0.2429304396,25.68359375,-0.0918636111,23.1396484375,-0.0911523208,22.87109375,81,-0.648131163,-1.0913321699,-0.7265063256,-1.0212277682
-0.2363807945,24.7133091518,-0.1317914949,29.0576171875,-0.1311449903,28.935546875,82,-2.1971173894,-1.7963932519,-2.4999693428,-1.7337923121
-0.2439371283,24.9065290179,-0.077130123,20.1904296875,-0.0750341589,19.7119140625,83,-0.0765514072,-0.739965096,-0.0117512352,-0.6500286862
-0.2039605449,22.3835100446,-0.24648533,33.466796875,-0.2517596459,33.9404296875,84,-6.646618686,-2.321698662,-7.8485903197,-2.321858864
-0.1973658874,20.91796875,-0.0969708143,22.060546875,-0.0974194769,21.8017578125,85,-0.846263062,-0.9627690518,-1.0044214952,-0.8955823293
-0.2229222914,22.3793247768,-0.1682346321,28.5546875,-0.1715803863,29.2822265625,86,-3.6109142692,-1.7364746946,-4.2930649365,-1.7745266781
-0.228537548,23.8804408482,-0.1357440462,25.0048828125,-0.1384447713,25.5517578125,87,-2.3504550327,-1.3135543921,-2.8236759584,-1.3362019507
-0.1774531578,20.2790178571,-0.1303546077,28.3837890625,-0.132737795,28.4912109375,88,-2.1413739266,-1.7161140198,-2.5706017918,-1.6815834768
-0.1868272937,21.0902622768,-0.1730748491,30.0146484375,-0.1759222092,30.5126953125,89,-3.7986885474,-1.9104130308,-4.4856017781,-1.9191049914
-0.1652258172,18.9808872768,-0.081584832,19.384765625,-0.0833045095,19.7802734375,90,-0.2493700542,-0.6439790576,-0.3784974697,-0.6580608147
-0.145570597,18.6683872768,-0.2334101917,34.0625,-0.2391528226,34.580078125,91,-6.1393739455,-2.3926701571,-7.2895444973,-2.397016638
-0.1679566582,19.6358816964,-0.1989747424,39.6044921875,-0.1981895672,39.814453125,92,-4.8034645096,-3.0529377545,-5.4730411364,-3.0120481928
-0.1850044761,20.9633091518,-0.0872388441,23.1591796875,-0.0878881391,23.3056640625,93,-0.4687151837,-1.0936591041,-0.5817571609,-1.0722891566
-0.1629690834,18.6990792411,-0.1322436457,25.166015625,-0.1345169731,25.52734375,94,-2.2146583973,-1.3327515998,-2.6494989173,-1.3333333333
-0.1236630086,15.4352678571,-0.1074640913,19.7705078125,-0.1086587224,20.0341796875,95,-1.2533455319,-0.6899360093,-1.5028224908,-0.6878944349
-0.0925266186,13.0608258929,-0.0858037104,16.11328125,-0.0854709641,15.966796875,96,-0.4130397488,-0.2542175684,-0.4745682531,-0.2099827883
-0.0583650724,10.0620814732,-0.0467594984,11.5869140625,-0.0477255865,11.845703125,97,1.1016647819,0.2850494474,1.1992392743,0.2742398164
-0.0528507655,9.3596540179,-0.0471288267,11.09375,-0.0499061306,11.5869140625,98,1.0873368412,0.3438045375,1.1025436957,0.3046471601
-0.0672697086,11.3155691964,-0.1136715477,21.23046875,-0.1158536811,21.6357421875,99,-1.4941613129,-0.8638743455,-1.8218807922,-0.8760757315
-0.088829128,13.1466238839,-0.0849963223,17.59765625,-0.0875305666,17.6416015625,100,-0.3817174505,-0.4310645724,-0.5659007127,-0.4067699369
-0.1058633926,13.544921875,-0.0581341945,12.1484375,-0.0579419184,11.8359375,101,0.6603880155,0.2181500873,0.7461990771,0.2753872633
-0.1259394857,15.1869419643,-0.2170963442,33.1201171875,-0.2200197676,33.6376953125,102,-5.5064847788,-2.2803955788,-6.4410948711,-2.2862880092
-0.1381649383,17.2963169643,-0.1484452806,26.3232421875,-0.1529798492,26.552734375,103,-2.8431943235,-1.4706224549,-3.4682296562,-1.453815261
-0.1475190909,18.7506975446,-0.1144621327,23.193359375,-0.1163084962,23.4130859375,104,-1.5248317378,-1.0977312391,-1.8420494326,-1.0849110729
-0.1650502924,20.9542410714,-0.1524775581,26.46484375,-0.1604549755,26.9580078125,105,-2.9996249071,-1.4874927283,-3.7997119077,-1.5014343087
-0.152941281,23.2917131696,-0.157089233,26.62109375,-0.1590599872,27.2509765625,106,-3.1785329868,-1.5061082024,-3.7378515663,-1.5358577166
-0.1380384232,20.3543526786,-0.0986417847,17.5830078125,-0.1023302165,18.193359375,107,-0.9110876877,-0.4293193717,-1.2221867803,-0.4716006885
-0.0902641175,15.7728794643,-0.0557957441,14.3212890625,-0.0574886359,14.677734375,108,0.7511072584,-0.0407213496,0.7662997533,-0.0585197935
-0.0803696648,12.7015904018,-0.0446246584,8.4765625,-0.0450729608,8.3642578125,109,1.1844850439,0.6556137289,1.3168691695,0.6833046472
-0.1027225007,13.6886160714,-0.373613527,31.123046875,-0.3916316729,32.0458984375,110,-11.5785060643,-2.0424665503,-14.0511736958,-2.0992541595
-0.0998675568,14.1315569196,-0.0855345965,18.9990234375,-0.0863230652,19.19921875,111,-0.4025995831,-0.5980221059,-0.5123544251,-0.5897877223
-0.0690195508,12.6534598214,-0.06599466,16.07421875,-0.064765291,15.947265625,112,0.3554444102,-0.2495636998,0.4436186532,-0.2076878944
-0.065134033,12.9220145089,-0.0660316435,17.8076171875,-0.0679024363,18.41796875,113,0.3540096512,-0.4560791158,0.3045028758,-0.4979919679
