optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-20.8054699442,41.0086495536,-53.1892830849,70.4541015625,-53.5633101463,70.7666015625,313,-21.5620056215,-5.3228460794,-20.6257558037,-4.8496441281
-21.3327629511,41.1467633929,-53.1054645538,70.361328125,-53.4736033678,70.732421875,319,-21.5236030919,-5.3136495644,-20.5867508713,-4.8465302491
-20.9248347414,40.7156808036,-53.0149976015,70.41015625,-53.3755135775,70.615234375,326,-21.4821545034,-5.3184898354,-20.5441009656,-4.8358540925
-20.9214198798,40.9151785714,-52.961237669,70.3662109375,-53.3077685356,70.5517578125,330,-21.4575237043,-5.3141335915,-20.5146451003,-4.8300711744
-21.1558807475,40.6375558036,-52.7099472046,70.244140625,-53.0467031002,70.4248046875,338,-21.3423917716,-5.3020329138,-20.4011326117,-4.8185053381
-21.4712222299,40.6801060268,-52.6153722048,70.09765625,-52.9466220856,70.37109375,345,-21.2990610286,-5.2875121007,-20.3576169122,-4.8136120996
-21.0315489335,40.3787667411,-52.4403562784,69.94140625,-52.761930728,70.1025390625,353,-21.2188752487,-5.2720232333,-20.2773122346,-4.7891459075
-21.8143769571,40.8537946429,-52.3739318609,69.873046875,-52.6806031942,70.0439453125,358,-21.1884420543,-5.2652468538,-20.2419506375,-4.7838078292
-21.59238592,40.2483258929,-52.1746130466,69.7314453125,-52.4782109976,69.9072265625,366,-21.0971215962,-5.2512100678,-20.1539495512,-4.7713523132
-21.3261480549,40.3829520089,-52.051026988,69.5361328125,-52.3521504879,69.775390625,374,-21.0404990665,-5.2318489835,-20.0991378442,-4.759341637
-21.4929795223,40.1750837054,-51.9584465027,69.384765625,-52.2535442114,69.7314453125,381,-20.9980821358,-5.2168441433,-20.0562633678,-4.7553380783
-22.2618072778,40.5294363839,-51.9574919939,69.47265625,-52.2395639658,69.7314453125,389,-20.9976448154,-5.2255566312,-20.0501846908,-4.7553380783
-21.4659957196,40.0606863839,-51.9196248293,69.453125,-52.193998909,69.7216796875,395,-20.9802954908,-5.2236205227,-20.0303727882,-4.7544483986
-21.7286338593,40.3871372768,-51.8379016876,69.4091796875,-52.1196892977,69.6142578125,398,-20.9428529906,-5.2192642788,-19.998062617,-4.7446619217
-22.1301813483,40.2922712054,-51.7008381605,69.2333984375,-51.9992119789,69.4384765625,406,-20.8800555867,-5.201839303,-19.9456785078,-4.7286476868
-21.8396071042,40.2057756696,-51.6180374622,69.189453125,-51.9206637859,69.3603515625,414,-20.8421193903,-5.1974830591,-19.9115253812,-4.7215302491
-22.4127398763,40.419921875,-51.5287461519,69.140625,-51.8327165365,69.2578125,421,-20.8012094371,-5.192642788,-19.8732855004,-4.7121886121
-21.6813640978,40.2811104911,-51.483907032,69.033203125,-51.7932596684,69.267578125,427,-20.7806658222,-5.1819941917,-19.8561294671,-4.7130782918
-21.8914023953,40.3390066964,-51.4719201565,69.08203125,-51.7795902491,69.23828125,434,-20.7751738822,-5.1868344627,-19.8501859388,-4.7104092527
-22.2173044,40.478515625,-51.5000838041,69.12109375,-51.8017876387,69.2333984375,442,-20.7880774167,-5.1907066796,-19.859837469,-4.7099644128
-22.2034565845,40.244140625,-51.372640729,68.8525390625,-51.6984507561,69.150390625,450,-20.7296877457,-5.1640851888,-19.8149061027,-4.7024021352
-22.1129768738,40.1939174107,-51.328316021,68.857421875,-51.6565262556,69.140625,457,-20.7093798151,-5.1645692159,-19.7966771312,-4.7015124555
-22.0449041056,40.4122488839,-51.280126214,68.740234375,-51.6086673737,69.0966796875,463,-20.6873010402,-5.1529525653,-19.7758678625,-4.6975088968
-21.9492110733,40.1025390625,-51.2425464153,68.6962890625,-51.56300807,68.9453125,467,-20.6700833759,-5.1485963214,-19.7560149809,-4.6837188612
-22.7537477051,40.5678013393,-51.2053672552,68.6376953125,-51.5235656023,68.92578125,474,-20.6530492692,-5.1427879961,-19.738865209,-4.6819395018
-22.3276765853,40.8349609375,-51.1563901424,68.6083984375,-51.4791474819,68.8134765625,482,-20.6306097801,-5.1398838335,-19.7195519998,-4.6717081851
-22.4873833179,39.8842075893,-51.1071547747,68.505859375,-51.439922595,68.828125,490,-20.6080519681,-5.1297192643,-19.702496833,-4.6730427046
-22.5009461424,40.2964564732,-51.0875885487,68.4912109375,-51.4218410254,68.818359375,497,-20.599087452,-5.128267183,-19.6946348808,-4.6721530249
-23.2325040787,40.2371651786,-50.9872947931,68.4228515625,-51.3315601349,68.642578125,503,-20.5531365881,-5.1214908035,-19.6553803218,-4.65613879
-22.7086871203,40.2469308036,-50.9153294802,68.330078125,-51.2858697891,68.5498046875,510,-20.5201647617,-5.1122942885,-19.6355139429,-4.6476868327
-22.3402086684,40.3529575893,-50.9279607058,68.4228515625,-51.2934295654,68.623046875,518,-20.5259519189,-5.1214908035,-19.6388009695,-4.6543594306
-23.6470083535,40.8733258929,-50.9302968025,68.4375,-51.2911529779,68.6767578125,526,-20.5270222314,-5.1229428848,-19.6378110985,-4.659252669
-23.3182622624,40.615234375,-50.8642700434,68.30078125,-51.2334016085,68.583984375,533,-20.4967712292,-5.1093901258,-19.6127005293,-4.6508007117
-22.5420360667,40.5113002232,-50.8520655632,68.3154296875,-51.2160465002,68.5888671875,535,-20.4911795909,-5.1108422072,-19.605154446,-4.6512455516
-22.8931825829,40.3724888393,-50.8743156195,68.37890625,-51.2410646439,68.681640625,543,-20.5013737381,-5.1171345595,-19.6160324534,-4.6596975089
