optrew,optER,valrew,valER,testrew,testER,epoch,norm val rew,norm val er,norm test rew,norm test ER
-0.0707869321,16.9489397321,-0.0628072305,17.1826171875,-0.0621314296,17.197265625,86,0.5188082885,-0.292616721,0.5235511641,-0.3108635097
-0.0632363934,15.5705915179,-0.0547841633,12.96875,-0.0547456962,13.5009765625,87,0.7719447257,0.1758957655,0.7751997808,0.1108635097
-0.0590858323,14.5528738839,-0.0534678563,13.7109375,-0.0537145094,13.642578125,88,0.8134756359,0.0933767644,0.8103346422,0.0947075209
-0.0595145546,14.5124162946,-0.0545303061,13.7060546875,-0.0535066828,13.7890625,89,0.7799541964,0.0939196526,0.8174157649,0.077994429
-0.0547308625,13.6188616071,-0.041116096,10.8642578125,-0.0412114005,10.56640625,90,1.2031870191,0.4098805646,1.2363437962,0.4456824513
-0.059009005,14.7726004464,-0.047549331,12.900390625,-0.0447753803,12.5390625,91,1.0002115026,0.1834961998,1.1149109571,0.2206128134
-0.0563231508,14.1036551339,-0.0439414162,11.6552734375,-0.0433627021,11.708984375,92,1.114045113,0.3219326819,1.1630440921,0.3153203343
-0.0584657646,14.4301060268,-0.0694361028,17.265625,-0.0695932644,17.7490234375,93,0.3096602045,-0.3018458198,0.2693096028,-0.373816156
-0.0607484291,15.1918247768,-0.0469101022,11.748046875,-0.0461946372,11.42578125,94,1.0203798634,0.3116178067,1.0665536678,0.347632312
-0.0585171721,14.5061383929,-0.0494998251,11.7919921875,-0.0475199937,11.3623046875,95,0.9386713075,0.3067318132,1.0213957799,0.3548746518
-0.0564066961,14.140625,-0.0593491951,14.2236328125,-0.0611602589,14.70703125,96,0.6279130391,0.0363735071,0.5566411446,-0.0267409471
-0.054602598,13.2882254464,-0.0778585476,15.3466796875,-0.0769099701,15.107421875,97,0.0439229705,-0.0884907709,0.0200129164,-0.0724233983
-0.0524291233,12.2405133929,-0.0531543532,11.396484375,-0.0503610077,11.25,98,0.8233669963,0.3507057546,0.9245960176,0.3676880223
-0.0537854559,13.5079520089,-0.049048667,10.009765625,-0.0482994102,10.1123046875,99,0.9529058324,0.5048859935,0.9948392987,0.4974930362
-0.0553624978,13.7004743304,-0.062005152,13.193359375,-0.0606514012,13.1298828125,100,0.5441147294,0.1509229099,0.5739790757,0.1532033426
-0.0556929063,12.0270647321,-0.0939870972,15.3271484375,-0.0911364194,15.2099609375,101,-0.4649501957,-0.0863192182,-0.4647143346,-0.0841225627
-0.0537978472,11.8798828125,-0.0872264595,16.962890625,-0.0865217372,16.7822265625,102,-0.2516447716,-0.2681867535,-0.3074816924,-0.2635097493
-0.054367115,12.0424107143,-0.0565739316,12.1435546875,-0.0534318804,12.177734375,103,0.7154756014,0.2676438654,0.8199644511,0.2618384401
-0.0507079453,12.1421595982,-0.0598753244,13.1103515625,-0.0581165246,12.9150390625,104,0.6113130923,0.1601520087,0.6603480448,0.1777158774
-0.050664233,12.3646763393,-0.068647797,14.0234375,-0.0679955536,13.9111328125,105,0.334532104,0.0586319218,0.3237472173,0.0640668524
-0.0519159799,12.9234095982,-0.0680504061,15.166015625,-0.066804761,15.0390625,106,0.3533804311,-0.0684039088,0.3643202112,-0.0646239554
-0.05280613,13.1375558036,-0.0643573664,11.552734375,-0.0605213041,11.318359375,107,0.4698998244,0.3333333333,0.5784117761,0.3598885794
-0.0506923817,11.9803292411,-0.0797716738,14.7265625,-0.0752683824,14.3359375,108,-0.0164382293,-0.0195439739,0.0759455157,0.0155988858
-0.0538544093,13.2582310268,-0.0915112347,18.8134765625,-0.0898316683,18.7255859375,109,-0.3868340607,-0.4739413681,-0.4202585207,-0.4852367688
-0.0533173903,12.6018415179,-0.0716932999,12.4658203125,-0.0720878106,12.5146484375,110,0.238443198,0.2318132465,0.1843147802,0.2233983287
-0.0517788798,12.1909877232,-0.0928542233,16.6259765625,-0.0912101773,15.927734375,111,-0.4292067998,-0.2307274701,-0.467227433,-0.1660167131
-0.0530769517,12.7287946429,-0.084492329,15.8447265625,-0.0831371849,15.9326171875,112,-0.1653800022,-0.1438653637,-0.1921623545,-0.1665738162
-0.0556538441,13.1947544643,-0.0796761989,14.326171875,-0.0822390466,14.2431640625,113,-0.0134258928,0.0249728556,-0.1615607531,0.026183844
-0.0554858182,12.9568917411,-0.095480128,16.5576171875,-0.0920279846,16.3037109375,114,-0.5120569302,-0.2231270358,-0.4950919744,-0.208913649
-0.0582037712,13.8483537946,-0.107744804,17.9248046875,-0.1070592904,18.0126953125,115,-0.899020712,-0.375135722,-1.0072425059,-0.4038997214
-0.055994469,12.9917689732,-0.0913395101,18.7451171875,-0.0925127791,18.5546875,116,-0.3814159636,-0.4663409338,-0.51161002,-0.4657381616
-0.0559223978,12.6213727679,-0.1238036404,18.7353515625,-0.1206478793,18.0078125,117,-1.4056943522,-0.4652551574,-1.4702364171,-0.4033426184
-0.0554482929,12.3228236607,-0.1036873132,15.771484375,-0.1014921796,15.9228515625,118,-0.7710024939,-0.1357220413,-0.8175584713,-0.16545961
-0.054450184,12.3416573661,-0.0998166485,17.939453125,-0.0969149256,17.5537109375,119,-0.6488788381,-0.3767643865,-0.6616010916,-0.3515320334
-0.053523456,12.5495256696,-0.0862127009,16.3037109375,-0.0850165262,15.6494140625,120,-0.2196595927,-0.1948968512,-0.2561957563,-0.1342618384
